Time,Title,Website
23:53-23:53,"Vivek on X: ""some notes on getting into frontier ai labs"" / X",x.com
23:51-23:51,(10) I lead AGI safety at Google DeepMind – here's the view from the inside | Rohin Shah - YouTube,youtube.com
23:51-23:51,(10) I lead AGI safety at Google DeepMind – here's the view from the inside | Rohin Shah - YouTube,youtu.be
23:51-23:51,(10) I lead AGI safety at Google DeepMind – here's the view from the inside | Rohin Shah - YouTube,t.co
23:18-23:48,LinkedIn,linkedin.com
23:48-23:48,Frontier Research Club: About | LinkedIn,linkedin.com
23:48-23:48,Frontier Research Club: Overview | LinkedIn,linkedin.com
23:31-23:47,"Walk & Talk About Life's Big Questions, Sat, Jun 6, 2026, 8:00 AM | Meetup",meetup.com
23:47-23:47,Frontier Research Club: Posts | LinkedIn,linkedin.com
23:47-23:47,Blog | Hexo Labs,hexolabs.com
23:31-23:46,"Walk & Talk About Life's Big Questions, Sat, Jun 13, 2026, 8:00 AM | Meetup",meetup.com
23:17-23:43,Top job picks for you | LinkedIn,linkedin.com
23:43-23:43,depthfirst: Jobs | LinkedIn,linkedin.com
23:40-23:40,BentoLabs AI (YC P26): Jobs | LinkedIn,linkedin.com
23:33-23:33,"откуда: Мое местоположение; куда: Пинтейл Пикник Арея, Pickleweed Picnic Area, Ferry Point Loop Trail, Richmond, CA 94801 – Google Карты",google.com
23:33-23:33,Google Карты,google.com
23:33-23:33,Google Карты,maps.app.goo.gl
23:30-23:32,Google Календарь - Неделя 1 июня 2026,calendar.google.com
23:31-23:32,Google Календарь - сведения о мероприятии,calendar.google.com
23:31-23:31,meetup.com/the-board-walks-san-francisco/events/bwxqxtyjcjbrb/rsvp/?showConfirmedRsvpModal=true,meetup.com
23:31-23:31,"Next BASK General Meeting: Saturday, June 6 (In Person) | Bay Area Sea Kayakers",bask.org
23:30-23:30,"Inbox (10,461) - tanyshka.ushakova@gmail.com - Gmail",mail.google.com
23:30-23:30,Self Improving AI (SIA) Agents - Emergency Hackathon (by AGI House SF & Nebius) · Luma,luma.com
23:22-23:22,Apptronik: Jobs | LinkedIn,linkedin.com
23:21-23:21,Fireworks AI: Jobs | LinkedIn,linkedin.com
23:20-23:20,Rain: Overview | LinkedIn,linkedin.com
23:19-23:19,Unconventional AI: People | LinkedIn,linkedin.com
23:18-23:18,Unconventional AI: Jobs | LinkedIn,linkedin.com
23:15-23:15,Post | LinkedIn,linkedin.com
22:45-23:14,LinkedIn,linkedin.com
23:14-23:14,Shiyu Xu | LinkedIn,linkedin.com
23:14-23:14,Overlay: People | LinkedIn,linkedin.com
23:14-23:14,Overlay: Overview | LinkedIn,linkedin.com
23:05-23:11,ChatGPT,chatgpt.com
23:09-23:09,Resume Tailoring for CV Role,chatgpt.com
23:05-23:08,ChatGPT,chat.openai.com
23:03-23:03,Lead Computer Vision / Perception Engineer,jobs.gem.com
22:46-23:02,Top job picks for you | LinkedIn,linkedin.com
23:02-23:02,Kodiak Sciences: Overview | LinkedIn,linkedin.com
22:58-22:58,X,x.com
22:58-22:58,X,linkedin.com
22:50-22:50,When AI builds itself \ Anthropic,anthropic.com
22:50-22:50,When AI builds itself \ Anthropic,linkedin.com
22:47-22:47,BentoLabs AI (YC P26): Overview | LinkedIn,linkedin.com
22:45-22:45,flowscope (YC P26): Overview | LinkedIn,linkedin.com
22:39-22:41,Feed | LinkedIn,linkedin.com
22:39-22:39,Notifications | LinkedIn,linkedin.com
22:39-22:39,"Inbox (10,461) - tanyshka.ushakova@gmail.com - Gmail",mail.google.com
22:02-22:02,sia/sia/backends at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/defaults at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/tasks at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/util.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/run_setup.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/results.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/providers.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/prompts.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/profiles.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/prepare_mlebench_dataset.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/orchestrator.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/logging_setup.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/layout.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/io_utils.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/context_manager.py at main · hexo-ai/sia · GitHub,github.com
22:02-22:02,sia/sia/config_files.py at main · hexo-ai/sia · GitHub,github.com
22:00-22:01,sia/sia at main · hexo-ai/sia · GitHub,github.com
22:01-22:01,sia/sia/config.py at main · hexo-ai/sia · GitHub,github.com
22:01-22:01,sia/sia/cli.py at main · hexo-ai/sia · GitHub,github.com
22:01-22:01,sia/sia/api_keys.py at main · hexo-ai/sia · GitHub,github.com
22:01-22:01,sia/sia/__main__.py at main · hexo-ai/sia · GitHub,github.com
22:01-22:01,sia/sia/__init__.py at main · hexo-ai/sia · GitHub,github.com
21:47-21:47,"Walk & Talk About Life's Big Questions, Sat, Jun 6, 2026, 8:00 AM | Meetup",meetup.com
21:47-21:47,"Walk & Talk About Life's Big Questions, Sat, Jun 6, 2026, 8:00 AM | Meetup",email-analytics.meetup.com
21:47-21:47,"Walk & Talk About Life's Big Questions, Sat, Jun 6, 2026, 8:00 AM | Meetup",google.com
21:47-21:47,"512 Haight St, San Francisco, CA 94117 to 1210 Masonic Ave, San Francisco, CA 94117 - Google Maps",google.com
21:47-21:47,Google Maps,google.com
21:47-21:47,Google Maps,maps.google.com
21:47-21:47,Google Maps,email-analytics.meetup.com
21:47-21:47,See you at: Walk & Talk About Life's Big Questions - tanyshka.ushakova@gmail.com - Gmail,mail.google.com
21:46-21:46,"Inbox (10,461) - tanyshka.ushakova@gmail.com - Gmail",mail.google.com
21:32-21:32,Sparse Reward Handling,chatgpt.com
21:31-21:31,ChatGPT,chatgpt.com
21:31-21:31,ChatGPT,chat.openai.com
20:57-20:57,Tatiana Ushakova | LinkedIn,linkedin.com
20:57-20:57,Feed | LinkedIn,linkedin.com
20:57-20:57,Notifications | LinkedIn,linkedin.com
20:56-20:56,"Inbox (10,461) - tanyshka.ushakova@gmail.com - Gmail",mail.google.com
20:37-20:39,SIA: Self Improving AI with Harness & Weight Updates,arxiv.org
20:39-20:39,OpenDyslexic для Chrome - Интернет-магазин Chrome,chromewebstore.google.com
20:39-20:39,Dyslexia Friendly - Интернет-магазин Chrome,chromewebstore.google.com
20:39-20:39,dyslexia font extensions - Поиск в Google,google.com
20:39-20:39,OpenDyslexic для Chrome - Интернет-магазин Chrome,accounts.google.com
19:28-19:56,Productivity apps market size and spending - Claude,claude.ai
19:28-19:56,New chat - Claude,claude.ai
19:24-19:24,Productivity App Market Insights,chatgpt.com
19:24-19:24,ChatGPT,chatgpt.com
19:24-19:24,ChatGPT,chat.openai.com
18:52-18:52,SwiftRead,app.swiftread.com
18:52-18:52,SIA: Self Improving AI with Harness & Weight Updates,arxiv.org
18:52-18:52,[2605.27276] SIA: Self Improving AI with Harness & Weight Updates,arxiv.org
18:52-18:52,[2605.27276] SIA: Self Improving AI with Harness & Weight Updates,ar5iv.labs.arxiv.org
18:52-18:52,[2605.27276] SIA: Self Improving AI with Harness & Weight Updates,ar5iv.org
18:52-18:52,SIA: Self Improving AI with Harness     Weight Updates,arxiv.org
18:26-18:45,YouTube,m.youtube.com
18:31-18:31,Joinee,phystech4ever.joinee.io
18:26-18:26,Requests for Startups | Y Combinator,ycombinator.com
17:51-17:51,Important Logistics - tanyshka.ushakova@gmail.com - Gmail,mail.google.com
17:50-17:50,"Inbox (10,461) - tanyshka.ushakova@gmail.com - Gmail",mail.google.com
17:49-17:49,Hexo Labs | Accelerating Superintelligence,hexolabs.com
17:44-17:44,SIA: Self Improving AI with Harness     Weight Updates,arxiv.org
17:42-17:43,Self Improving AI (SIA) Agents - Emergency Hackathon (by AGI House SF & Nebius) · Luma,luma.com
17:43-17:43,GitHub - hexo-ai/sia: SIA is a Self Improving AI framework to autonomously improve the performance of any AI system (Model / Agent) on a benchmark task. · GitHub,github.com
17:43-17:43,[2605.27276] SIA: Self Improving AI with Harness & Weight Updates,arxiv.org
17:40-17:40,Google Карты,google.com
15:23-15:23,£1 270 to usd - Поиск в Google,google.com
15:23-15:23,Google Календарь - Неделя 1 июня 2026,calendar.google.com
14:51-15:20,Google Карты,google.com
14:51-15:20,"откуда: Мое местоположение; куда: 2044 Franklin St, Oakland, CA 94612 – Google Карты",google.com
15:12-15:19,"Inbox (10,461) - tanyshka.ushakova@gmail.com - Gmail",mail.google.com
15:14-15:18,Spam (95) - tanyshka.ushakova@gmail.com - Gmail,mail.google.com
15:16-15:16,Новое сообщение в Self Improving AI (SIA) Agents - Emergency Hackathon (by AGI House SF & Nebius) - tanyshka.ushakova@gmail.com - Gmail,mail.google.com
15:16-15:16,⏰ Self Improving AI (SIA) Agents - Emergency Hackathon (by AGI House SF & Nebius) начнётся завтра - tanyshka.ushakova@gmail.com - Gmail,mail.google.com
15:12-15:15,Sent Mail - tanyshka.ushakova@gmail.com - Gmail,mail.google.com
15:15-15:15,Scheduled - tanyshka.ushakova@gmail.com - Gmail,mail.google.com
15:14-15:14,Court-Ordered Notice of Class Action - tanyshka.ushakova@gmail.com - Gmail,mail.google.com
15:14-15:14,Drafts (67) - tanyshka.ushakova@gmail.com - Gmail,mail.google.com
15:12-15:12,Unpaid final wages - tanyshka.ushakova@gmail.com - Gmail,mail.google.com
14:51-14:51,2044 Franklin St – Google Карты,google.com
14:51-14:51,"2044 Franklin Street, Oakland, CA – Google Карты",google.com
14:13-14:35,переводчик - Поиск в Google,google.com
14:24-14:24,Become an Ivy League Egg Donor | Earn $100K–$250K+ | Ivy Surrogacy,ivysurrogacy.com
14:20-14:20,eggs donation; Mining smart people w blog - through niche blogs - Claude,claude.ai
14:20-14:20,"Head pose estimate, Kalman & vertigo - Elevated diastolic blood pressure and vertigo - Claude",claude.ai
14:20-14:20,New chat - Claude,claude.ai
14:14-14:14,medications with lower risk of ohss - Поиск в Google,google.com
14:13-14:13,ohss - Поиск в Google,google.com
13:54-13:54,"Inbox (10,461) - tanyshka.ushakova@gmail.com - Gmail",mail.google.com
13:50-13:50,Egg Donation Medications Guide,chatgpt.com
13:50-13:50,ChatGPT,chatgpt.com
13:50-13:50,ChatGPT,chat.openai.com
13:49-13:49,Google Календарь - Неделя 1 июня 2026,calendar.google.com
12:52-13:08,(10) YouTube,youtube.com
13:08-13:08,(10) Do Google engineers actually vibe code? - YouTube,youtube.com
13:08-13:08,Your biggest advantage is no one knows who you are - YouTube,youtube.com
12:55-13:03,No Title,x.com
12:52-13:02,Home / X,x.com
13:01-13:01,"Lorwen Harris Nagle, PhD on X: ""A Stanford psychiatrist says modern anxiety is not caused by danger. It's caused by tiny habits that teach your brain to panic when nothing is actually wrong. You do them every day. And you call them normal. 6 normal habits quietly teaching your nervous system to panic:▼▼▼ https://t.co/d1NaS4Cc7D"" / X",x.com
12:59-12:59,"Vivek on X: ""some notes on getting into frontier ai labs"" / X",x.com
12:58-12:58,"Moritz Wallawitsch on X: ""holy shit - their api is leaking customer data https://t.co/AyQXGzWuMa"" / X",x.com
12:53-12:53,"Mushfiq Sajib on X: ""Claude has a feature called ADHD Executive Function Mode. You can use it to hack your brain’s dopamine and finish a week’s worth of work in 4 hours. Here are 7 prompts to access it: ⤵️"" / X",x.com
12:52-12:52,переводчик - Поиск в Google,google.com
12:50-12:51,"Inbox (10,461) - tanyshka.ushakova@gmail.com - Gmail",mail.google.com
12:49-12:50,Google Календарь - Неделя 1 июня 2026,calendar.google.com
12:50-12:50,Notifications | LinkedIn,linkedin.com
12:50-12:50,Feed | LinkedIn,linkedin.com
11:44-11:49,Google Календарь - Неделя 1 июня 2026,calendar.google.com
11:44-11:49,Sign in to your account,login.microsoftonline.com
11:44-11:49,Outlook,outlook.office.com
11:44-11:45,Feed | LinkedIn,linkedin.com
11:45-11:45,Notifications | LinkedIn,linkedin.com
11:44-11:44,"Inbox (10,461) - tanyshka.ushakova@gmail.com - Gmail",mail.google.com
11:44-11:44,You have a new statement - tanyshka.ushakova@gmail.com - Gmail,mail.google.com
11:44-11:44,Mail - Tatiana Ushakova - Outlook,outlook.cloud.microsoft
11:44-11:44,Mail - Tatiana Ushakova - Outlook,outlook.office.com
11:44-11:44,Mail - Tatiana Ushakova - Outlook,login.microsoftonline.com
